Parent and Person SubClassOf Father, True
Can Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Man that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing that is also something that (hasParent some (Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Man that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing)) be considered a subcategory of 'Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Man that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing that is also something that (hasParent some (Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Man that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing)) that is also something that (hasSibling some (Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing))'?, True.
Can Child be considered a subcategory of 'something that hasSex some Sister'?, True
Can GrandMother be considered a subcategory of 'something that hasSex some Sister'?, True.
Can GrandMother that is also something that (hasSex some Sister) be considered a subcategory of 'GrandMother that is also something that (hasSex some Sister)'?, \nFalse
Can Brother be considered a subcategory of 'GrandMother that is also something that (hasSex some Sister)'?, \nFalse
Can Sex be considered a subcategory of 'GrandMother that is also something that (hasSex some Sister)'?, \nFalse
Can GrandMother be considered a subcategory of 'GrandMother that is also Thing that is also something that (hasSex some Sister)'?, \nFalse
Can GrandMother be considered a subcategory of 'GrandMother that is also Son that is also something that (hasSex some Sister)'?, True
Can GrandMother be considered a subcategory of 'Female that is also GrandMother that is also Son that is also something that (hasSex some Sister)'?, \nFalse
Can GrandMother be considered a subcategory of 'Father that is also GrandMother that is also Son that is also something that (hasSex some Sister)'?, \nFalse
